,total_game,home_game,away_game,home_win,away_win,total_winning_rate,home_winning_rate,away_winning_rate
Scotland,744,368,376,213,149,48.655913978494624,57.88043478260869,39.62765957446808
England,910,451,459,290,246,58.901098901098905,64.30155210643017,53.59477124183007
Wales,638,312,326,120,85,32.13166144200627,38.46153846153847,26.07361963190184
Northern Ireland,615,303,312,104,55,25.853658536585368,34.32343234323432,17.628205128205128
United States,613,392,221,214,59,44.53507340946166,54.59183673469388,26.69683257918552
Canada,285,118,167,55,41,33.68421052631579,46.61016949152542,24.550898203592812
Uruguay,666,291,375,172,103,41.291291291291294,59.106529209621996,27.46666666666667
Argentina,712,333,379,220,145,51.26404494382022,66.06606606606607,38.258575197889186
Austria,748,396,352,205,113,42.513368983957214,51.76767676767676,32.10227272727273
Hungary,871,424,447,242,166,46.842709529276696,57.07547169811321,37.13646532438479
Czechoslovakia,451,201,250,127,79,45.67627494456763,63.18407960199005,31.6
Belgium,708,375,333,200,109,43.64406779661017,53.333333333333336,32.732732732732735
France,754,437,317,256,121,50.0,58.58123569794051,38.170347003154575
Switzerland,747,389,358,171,90,34.93975903614458,43.958868894601544,25.139664804469277
Netherlands,704,373,331,215,138,50.14204545454546,57.64075067024129,41.69184290030212
Germany,807,420,387,264,210,58.7360594795539,62.857142857142854,54.263565891472865
Sweden,919,452,467,268,193,50.16322089227421,59.29203539823009,41.32762312633833
Norway,770,389,381,161,121,36.62337662337662,41.38817480719794,31.758530183727036
Italy,671,371,300,247,122,54.992548435171386,66.57681940700809,40.666666666666664
Chile,558,285,273,162,59,39.60573476702509,56.84210526315789,21.611721611721613
Finland,705,310,395,102,75,25.106382978723403,32.903225806451616,18.9873417721519
Luxembourg,398,224,174,26,9,8.793969849246231,11.607142857142858,5.172413793103448
Russia,571,242,329,143,141,49.73730297723292,59.09090909090909,42.857142857142854
Denmark,739,375,364,210,127,45.6021650879567,56.00000000000001,34.89010989010989
Brazil,651,335,316,244,162,62.365591397849464,72.83582089552239,51.26582278481012
Basque Country,57,32,25,21,16,64.91228070175438,65.625,64.0
Japan,407,255,152,144,58,49.631449631449634,56.470588235294116,38.15789473684211
Philippines,135,65,70,28,11,28.888888888888886,43.07692307692308,15.714285714285714
Paraguay,524,194,330,100,75,33.396946564885496,51.546391752577314,22.727272727272727
Estonia,427,206,221,68,41,25.526932084309134,33.00970873786408,18.552036199095024
Guatemala,282,148,134,76,25,35.815602836879435,51.35135135135135,18.65671641791045
Costa Rica,429,202,227,127,50,41.25874125874126,62.87128712871287,22.026431718061673
Yugoslavia,422,183,239,104,86,45.023696682464454,56.830601092896174,35.98326359832636
Poland,728,358,370,182,121,41.620879120879124,50.83798882681564,32.7027027027027
Spain,588,308,280,217,126,58.333333333333336,70.45454545454545,45.0
Portugal,527,291,236,166,83,47.24857685009488,57.0446735395189,35.16949152542373
Romania,621,290,331,174,105,44.927536231884055,60.0,31.722054380664655
New Zealand,278,114,164,63,53,41.726618705035975,55.26315789473685,32.31707317073171
Australia,405,217,188,122,79,49.629629629629626,56.22119815668203,42.02127659574468
Latvia,348,161,187,59,38,27.873563218390807,36.64596273291926,20.32085561497326
Mexico,492,267,225,178,73,51.016260162601625,66.66666666666666,32.44444444444444
China PR,420,225,195,134,66,47.61904761904761,59.55555555555555,33.84615384615385
Lithuania,320,139,181,50,34,26.25,35.97122302158273,18.784530386740332
Turkey,510,249,261,114,79,37.84313725490196,45.78313253012048,30.268199233716476
Aruba,92,44,48,14,4,19.565217391304348,31.818181818181817,8.333333333333332
Curaçao,203,81,122,52,32,41.37931034482759,64.19753086419753,26.229508196721312
Bulgaria,610,261,349,134,96,37.704918032786885,51.34099616858238,27.507163323782237
Egypt,457,253,204,166,58,49.01531728665208,65.61264822134387,28.431372549019606
South Africa,329,191,138,99,52,45.8966565349544,51.832460732984295,37.68115942028986
Haiti,311,162,149,82,46,41.157556270096464,50.617283950617285,30.87248322147651
Jamaica,428,218,210,117,56,40.42056074766355,53.669724770642205,26.666666666666668
Republic of Ireland,517,289,228,140,62,39.071566731141196,48.44290657439446,27.192982456140353
Kenya,478,243,235,127,44,35.77405857740586,52.2633744855967,18.72340425531915
Uganda,417,208,209,124,49,41.48681055155875,59.61538461538461,23.444976076555022
Bolivia,335,159,176,74,17,27.164179104477608,46.540880503144656,9.659090909090908
Peru,453,232,221,104,33,30.242825607064017,44.827586206896555,14.93212669683258
Honduras,339,175,164,101,34,39.823008849557525,57.714285714285715,20.73170731707317
El Salvador,302,149,153,82,23,34.7682119205298,55.033557046979865,15.032679738562091
Guyana,215,115,100,46,16,28.837209302325583,40.0,16.0
Trinidad and Tobago,551,267,284,156,86,43.920145190562614,58.42696629213483,30.28169014084507
Barbados,215,130,85,53,20,33.95348837209302,40.76923076923077,23.52941176470588
Nicaragua,94,31,63,10,8,19.148936170212767,32.25806451612903,12.698412698412698
Greece,514,262,252,124,71,37.93774319066148,47.32824427480916,28.174603174603174
Martinique,210,109,101,59,34,44.285714285714285,54.12844036697248,33.663366336633665
Dominica,123,52,71,21,10,25.203252032520325,40.38461538461539,14.084507042253522
Cuba,223,66,157,31,41,32.28699551569507,46.96969696969697,26.11464968152866
Guadeloupe,147,74,73,36,19,37.41496598639456,48.64864864864865,26.027397260273972
Israel,403,224,179,90,46,33.7468982630273,40.17857142857143,25.69832402234637
Indonesia,322,187,135,91,22,35.09316770186335,48.663101604278076,16.296296296296298
Suriname,279,137,142,83,45,45.878136200716845,60.58394160583942,31.690140845070424
French Guiana,108,51,57,19,9,25.925925925925924,37.254901960784316,15.789473684210526
Saint Lucia,148,69,79,29,17,31.08108108108108,42.028985507246375,21.518987341772153
Colombia,354,156,198,82,52,37.85310734463277,52.56410256410257,26.262626262626267
Ecuador,341,161,180,86,29,33.724340175953074,53.41614906832298,16.11111111111111
Venezuela,298,149,149,52,19,23.825503355704697,34.899328859060404,12.751677852348994
Saint Kitts and Nevis,145,88,57,42,17,40.689655172413794,47.72727272727273,29.82456140350877
Grenada,150,74,76,30,20,33.33333333333333,40.54054054054054,26.31578947368421
India,239,129,110,52,25,32.21757322175732,40.310077519379846,22.727272727272727
Panama,327,154,173,70,35,32.11009174311927,45.45454545454545,20.23121387283237
Slovakia,263,128,135,62,49,42.20532319391635,48.4375,36.2962962962963
Croatia,270,132,138,89,57,54.074074074074076,67.42424242424242,41.30434782608695
Lebanon,210,116,94,40,19,28.095238095238095,34.48275862068966,20.212765957446805
Puerto Rico,95,46,49,9,8,17.894736842105264,19.565217391304348,16.3265306122449
Tanzania,395,191,204,73,26,25.063291139240505,38.21989528795812,12.745098039215685
Zimbabwe,350,166,184,92,54,41.714285714285715,55.42168674698795,29.347826086956523
Zambia,523,231,292,140,104,46.65391969407266,60.60606060606061,35.61643835616438
Iceland,407,194,213,81,47,31.44963144963145,41.75257731958763,22.065727699530516
Albania,316,159,157,58,22,25.31645569620253,36.477987421383645,14.012738853503185
Montenegro,112,60,52,27,12,34.82142857142857,45.0,23.076923076923077
Madagascar,172,84,88,42,26,39.53488372093023,50.0,29.545454545454547
Mauritius,201,84,117,27,26,26.368159203980102,32.142857142857146,22.22222222222222
Réunion,56,33,23,7,6,23.214285714285715,21.21212121212121,26.08695652173913
Zanzibar,71,29,42,5,5,14.084507042253522,17.24137931034483,11.904761904761903
Iran,339,187,152,129,71,58.99705014749262,68.98395721925134,46.71052631578947
Djibouti,56,26,30,4,0,7.142857142857142,15.384615384615385,0.0
Ethiopia,284,166,118,83,25,38.028169014084504,50.0,21.1864406779661
DR Congo,338,135,203,86,53,41.124260355029584,63.70370370370371,26.108374384236456
Vietnam,146,89,57,42,13,37.67123287671233,47.19101123595505,22.807017543859647
South Korea,507,302,205,186,92,54.83234714003945,61.58940397350994,44.87804878048781
Macau,77,37,40,8,1,11.688311688311687,21.62162162162162,2.5
Cyprus,363,206,157,55,14,19.00826446280992,26.699029126213592,8.9171974522293
Sierra Leone,211,100,111,52,8,28.436018957345972,52.0,7.207207207207207
Nigeria,401,180,221,121,66,46.633416458852864,67.22222222222223,29.86425339366516
Syria,242,77,165,38,38,31.40495867768595,49.35064935064935,23.03030303030303
Serbia,211,70,141,39,54,44.07582938388626,55.714285714285715,38.297872340425535
Ghana,409,178,231,118,76,47.43276283618582,66.29213483146067,32.900432900432904
New Caledonia,123,74,49,45,14,47.96747967479675,60.810810810810814,28.57142857142857
Fiji,132,82,50,41,7,36.36363636363637,50.0,14.000000000000002
Sri Lanka,111,48,63,14,3,15.315315315315313,29.166666666666668,4.761904761904762
Pakistan,103,37,66,11,5,15.53398058252427,29.72972972972973,7.575757575757576
German DR,281,128,153,75,57,46.97508896797153,58.59375,37.254901960784316
Tahiti,96,33,63,16,24,41.66666666666667,48.484848484848484,38.095238095238095
Gambia,171,90,81,30,8,22.22222222222222,33.33333333333333,9.876543209876543
Hong Kong,242,139,103,53,28,33.47107438016529,38.1294964028777,27.184466019417474
Singapore,366,235,131,94,23,31.967213114754102,40.0,17.557251908396946
Guinea-Bissau,92,45,47,20,6,28.26086956521739,44.44444444444444,12.76595744680851
Vanuatu,76,39,37,11,8,25.0,28.205128205128204,21.62162162162162
Burundi,120,47,73,18,14,26.666666666666668,38.297872340425535,19.17808219178082
Burma,144,57,87,27,21,33.33333333333333,47.368421052631575,24.137931034482758
Cambodia,121,61,60,21,3,19.834710743801654,34.42622950819672,5.0
Thailand,410,278,132,145,21,40.487804878048784,52.15827338129496,15.909090909090908
Malaysia,398,233,165,102,28,32.663316582914575,43.776824034334766,16.969696969696972
Belarus,229,97,132,37,34,31.004366812227076,38.144329896907216,25.757575757575758
Togo,300,137,163,69,24,31.0,50.36496350364964,14.723926380368098
North Korea,166,42,124,29,36,39.1566265060241,69.04761904761905,29.03225806451613
Sudan,269,120,149,64,26,33.457249070631974,53.333333333333336,17.449664429530202
Malta,383,218,165,35,10,11.74934725848564,16.055045871559635,6.0606060606060606
Tunisia,458,265,193,152,48,43.66812227074236,57.35849056603774,24.870466321243523
Libya,254,126,128,73,17,35.43307086614173,57.936507936507944,13.28125
Malawi,462,268,194,115,36,32.683982683982684,42.91044776119403,18.556701030927837
Morocco,413,232,181,146,51,47.699757869249396,62.93103448275862,28.176795580110497
Benin,219,107,112,37,14,23.28767123287671,34.57943925233645,12.5
Cape Verde,120,55,65,29,14,35.833333333333336,52.72727272727272,21.53846153846154
Burkina Faso,295,135,160,69,26,32.20338983050847,51.11111111111111,16.25
Mali,343,155,188,88,46,39.067055393586,56.774193548387096,24.46808510638298
Iraq,265,88,177,56,53,41.132075471698116,63.63636363636363,29.943502824858758
Saint Vincent and the Grenadines,99,47,52,25,19,44.44444444444444,53.191489361702125,36.53846153846153
Senegal,363,166,197,110,46,42.97520661157025,66.26506024096386,23.3502538071066
Ivory Coast,391,189,202,131,67,50.63938618925832,69.31216931216932,33.16831683168317
Guinea,314,122,192,81,38,37.898089171974526,66.39344262295081,19.791666666666664
Gabon,276,152,124,74,26,36.231884057971016,48.68421052631579,20.967741935483872
Congo,304,144,160,68,30,32.23684210526316,47.22222222222222,18.75
Cameroon,351,145,206,93,64,44.729344729344724,64.13793103448275,31.06796116504854
Central African Republic,67,26,41,11,2,19.402985074626866,42.30769230769231,4.878048780487805
Algeria,366,188,178,118,40,43.169398907103826,62.76595744680851,22.47191011235955
Kuwait,363,224,139,106,38,39.66942148760331,47.32142857142857,27.33812949640288
Jordan,287,160,127,70,29,34.494773519163765,43.75,22.83464566929134
Papua New Guinea,49,23,26,8,3,22.448979591836736,34.78260869565217,11.538461538461538
Solomon Islands,83,39,44,20,12,38.55421686746988,51.28205128205128,27.27272727272727
Liberia,219,116,103,51,10,27.85388127853881,43.96551724137931,9.70873786407767
Chad,81,34,47,12,6,22.22222222222222,35.294117647058826,12.76595744680851
Bermuda,132,79,53,34,12,34.84848484848485,43.037974683544306,22.641509433962266
Niger,175,85,90,37,4,23.42857142857143,43.529411764705884,4.444444444444445
Bahrain,299,174,125,70,30,33.44481605351171,40.229885057471265,24.0
Yemen,114,45,69,19,7,22.807017543859647,42.22222222222222,10.144927536231885
Mauritania,148,72,76,26,7,22.2972972972973,36.11111111111111,9.210526315789473
Saudi Arabia,373,260,113,154,34,50.402144772117964,59.23076923076923,30.08849557522124
Eswatini,196,102,94,24,12,18.367346938775512,23.52941176470588,12.76595744680851
Botswana,239,132,107,51,13,26.778242677824267,38.63636363636363,12.149532710280374
Laos,85,37,48,9,2,12.941176470588237,24.324324324324326,4.166666666666666
Qatar,372,250,122,128,37,44.354838709677416,51.2,30.327868852459016
Lesotho,203,100,103,22,13,17.24137931034483,22.0,12.62135922330097
United Arab Emirates,342,220,122,113,35,43.27485380116959,51.36363636363637,28.688524590163933
Faroe Islands,207,100,107,22,11,15.942028985507244,22.0,10.2803738317757
Nepal,99,48,51,17,3,20.2020202020202,35.41666666666667,5.88235294117647
Antigua and Barbuda,146,78,68,35,12,32.19178082191781,44.871794871794876,17.647058823529413
Bangladesh,118,57,61,27,9,30.508474576271187,47.368421052631575,14.754098360655737
Seychelles,79,40,39,11,1,15.18987341772152,27.500000000000004,2.564102564102564
Oman,309,198,111,99,31,42.07119741100323,50.0,27.927927927927925
Equatorial Guinea,108,62,46,26,2,25.925925925925924,41.935483870967744,4.3478260869565215
Mozambique,254,124,130,64,24,34.645669291338585,51.61290322580645,18.461538461538463
Guam,52,21,31,13,4,32.69230769230769,61.904761904761905,12.903225806451612
Angola,272,123,149,69,32,37.13235294117647,56.09756097560976,21.476510067114095
Dominican Republic,87,50,37,25,9,39.08045977011494,50.0,24.324324324324326
Rwanda,170,90,80,36,15,30.0,40.0,18.75
Armenia,186,88,98,27,17,23.655913978494624,30.681818181818183,17.346938775510203
Liechtenstein,193,94,99,10,5,7.772020725388601,10.638297872340425,5.05050505050505
Belize,51,24,27,11,3,27.450980392156865,45.83333333333333,11.11111111111111
Cayman Islands,68,43,25,13,1,20.588235294117645,30.23255813953488,4.0
British Virgin Islands,64,26,38,8,4,18.75,30.76923076923077,10.526315789473683
Namibia,191,89,102,34,13,24.60732984293194,38.20224719101123,12.745098039215685
Georgia,222,99,123,42,23,29.27927927927928,42.42424242424242,18.69918699186992
San Marino,165,83,82,1,0,0.6060606060606061,1.2048192771084338,0.0
Slovenia,229,115,114,53,32,37.117903930131,46.08695652173913,28.07017543859649
Moldova,205,85,120,17,16,16.097560975609756,20.0,13.333333333333334
Ukraine,236,121,115,68,38,44.91525423728814,56.19834710743802,33.04347826086956
Kazakhstan,171,80,91,26,10,21.052631578947366,32.5,10.989010989010989
Turkmenistan,95,36,59,20,11,32.631578947368425,55.55555555555556,18.64406779661017
Tajikistan,106,40,66,20,14,32.075471698113205,50.0,21.21212121212121
Uzbekistan,207,99,108,60,30,43.47826086956522,60.60606060606061,27.77777777777778
Kyrgyzstan,89,31,58,14,10,26.96629213483146,45.16129032258064,17.24137931034483
Azerbaijan,208,87,121,24,14,18.269230769230766,27.586206896551722,11.570247933884298
Czech Republic,256,122,134,83,59,55.46875,68.0327868852459,44.02985074626866
North Macedonia,220,113,107,46,18,29.09090909090909,40.707964601769916,16.822429906542055
Gibraltar,54,23,31,9,4,24.074074074074073,39.130434782608695,12.903225806451612
Bosnia and Herzegovina,197,89,108,41,37,39.59390862944163,46.06741573033708,34.25925925925926
Maldives,106,51,55,20,6,24.528301886792452,39.21568627450981,10.909090909090908
Andorra,147,68,79,5,0,3.4013605442176873,7.352941176470589,0.0
